id,text,label
1,有人在小区楼道持刀威胁邻居并砸门,治安案件
2,夜里电动车被盗走，车主报警称监控拍到陌生人撬锁,盗窃
3,两车追尾无人员伤亡，双方对赔偿有争议请求交警处理,交通事故
4,店铺收银台现金被偷，怀疑熟人作案,盗窃
5,家里老人突然胸痛呼吸困难需要120急救,急救求助
6,路口发生刮擦事故导致拥堵，需要交警到场疏导,交通事故
7,楼上邻居深夜吵闹扰民，多次劝阻无效请求处理,噪音扰民
8,有人在公交站抢夺手机后逃跑,抢劫抢夺
9,河边发现疑似落水人员需要救援,救援求助
10,居民家中煤气味浓疑似泄漏，担心爆炸请求处置,安全隐患
11,街头两人打架斗殴有人受伤,治安案件
12,收到网络诈骗电话要求转账，已损失一万元,诈骗
13,邻里因停车位纠纷发生口角推搡,治安案件
14,小区内车辆后视镜被砸坏,财物损坏
15,快递包裹被人冒领，怀疑被盗,盗窃
16,有人在楼道吸烟引发火灾报警器响起,安全隐患
17,老人走失在公园附近找不到家人,救援求助
18,遇到冒充客服退款链接被骗走验证码,诈骗
19,路面塌陷有行人摔倒风险，需紧急围挡,安全隐患
20,有人夜间飙车噪音大影响休息,噪音扰民
